Cue,Answer,cue_height,cue_width,btn_width,instruct_1,responses_1,instruct_2,responses_2,instruct_3,responses_3,
AM_BW_JPEG/AM10_BW/AM10_CC.jpg,Apple,600px,600px,150px,What ethnicity does this look most like to you?,African|Caucasian|East Asian|South Asian|Other,How Confident are you in this judgement?,1 - least confident|2|3|4|5|6|7 - most confident,,,
AM_BW_JPEG/AM11_BW/AM11_CC.jpg,Apple,600px,600px,150px,What ethnicity does this look most like to you?,African|Caucasian|East Asian|South Asian|Other,How Confident are you in this judgement?,1 - least confident|2|3|4|5|6|7 - most confident,,,
BF_BW_JPEG/BF01_BW/BF01_CC.jpg,Apple,600px,600px,150px,What ethnicity does this look most like to you?,African|Caucasian|East Asian|South Asian|Other,How Confident are you in this judgement?,1 - least confident|2|3|4|5|6|7 - most confident,,,
BF_BW_JPEG/BF02_BW/BF02_CC.jpg,Apple,600px,600px,150px,What ethnicity does this look most like to you?,African|Caucasian|East Asian|South Asian|Other,How Confident are you in this judgement?,1 - least confident|2|3|4|5|6|7 - most confident,,,
BF_BW_JPEG/BF03_BW/BF03_CC.jpg,Apple,600px,600px,150px,What ethnicity does this look most like to you?,African|Caucasian|East Asian|South Asian|Other,How Confident are you in this judgement?,1 - least confident|2|3|4|5|6|7 - most confident,,,
BF_BW_JPEG/BF04_BW/BF04_CC.jpg,Apple,600px,600px,150px,What ethnicity does this look most like to you?,African|Caucasian|East Asian|South Asian|Other,How Confident are you in this judgement?,1 - least confident|2|3|4|5|6|7 - most confident,,,
BF_BW_JPEG/BF05_BW/BF05_CC.jpg,Apple,600px,600px,150px,What ethnicity does this look most like to you?,African|Caucasian|East Asian|South Asian|Other,How Confident are you in this judgement?,1 - least confident|2|3|4|5|6|7 - most confident,,,
BF_BW_JPEG/BF06_BW/BF06_CC.jpg,Apple,600px,600px,150px,What ethnicity does this look most like to you?,African|Caucasian|East Asian|South Asian|Other,How Confident are you in this judgement?,1 - least confident|2|3|4|5|6|7 - most confident,,,
BF_BW_JPEG/BF07_BW/BF07_CC.jpg,Apple,600px,600px,150px,What ethnicity does this look most like to you?,African|Caucasian|East Asian|South Asian|Other,How Confident are you in this judgement?,1 - least confident|2|3|4|5|6|7 - most confident,,,
BF_BW_JPEG/BF08_BW/BF08_CC.jpg,Apple,600px,600px,150px,What ethnicity does this look most like to you?,African|Caucasian|East Asian|South Asian|Other,How Confident are you in this judgement?,1 - least confident|2|3|4|5|6|7 - most confident,,,
BF_BW_JPEG/BF09_BW/BF09_CC.jpg,Apple,600px,600px,150px,What ethnicity does this look most like to you?,African|Caucasian|East Asian|South Asian|Other,How Confident are you in this judgement?,1 - least confident|2|3|4|5|6|7 - most confident,,,
BF_BW_JPEG/BF10_BW/BF10_CC.jpg,Apple,600px,600px,150px,What ethnicity does this look most like to you?,African|Caucasian|East Asian|South Asian|Other,How Confident are you in this judgement?,1 - least confident|2|3|4|5|6|7 - most confident,,,
BF_BW_JPEG/BF12_BW/BF12_CC.jpg,Apple,600px,600px,150px,What ethnicity does this look most like to you?,African|Caucasian|East Asian|South Asian|Other,How Confident are you in this judgement?,1 - least confident|2|3|4|5|6|7 - most confident,,,
BF_BW_JPEG/BF13_BW/BF13_CC.jpg,Apple,600px,600px,150px,What ethnicity does this look most like to you?,African|Caucasian|East Asian|South Asian|Other,How Confident are you in this judgement?,1 - least confident|2|3|4|5|6|7 - most confident,,,
BF_BW_JPEG/BF14_BW/BF14_CC.jpg,Apple,600px,600px,150px,What ethnicity does this look most like to you?,African|Caucasian|East Asian|South Asian|Other,How Confident are you in this judgement?,1 - least confident|2|3|4|5|6|7 - most confident,,,
BF_BW_JPEG/BF15_BW/BF15_CC.jpg,Apple,600px,600px,150px,What ethnicity does this look most like to you?,African|Caucasian|East Asian|South Asian|Other,How Confident are you in this judgement?,1 - least confident|2|3|4|5|6|7 - most confident,,,
BF_BW_JPEG/BF16_BW/BF16_CC.jpg,Apple,600px,600px,150px,What ethnicity does this look most like to you?,African|Caucasian|East Asian|South Asian|Other,How Confident are you in this judgement?,1 - least confident|2|3|4|5|6|7 - most confident,,,
BF_BW_JPEG/BF17_BW/BF17_CC.jpg,Apple,600px,600px,150px,What ethnicity does this look most like to you?,African|Caucasian|East Asian|South Asian|Other,How Confident are you in this judgement?,1 - least confident|2|3|4|5|6|7 - most confident,,,
BF_BW_JPEG/BF18_BW/BF18_CC.jpg,Apple,600px,600px,150px,What ethnicity does this look most like to you?,African|Caucasian|East Asian|South Asian|Other,How Confident are you in this judgement?,1 - least confident|2|3|4|5|6|7 - most confident,,,
BF_BW_JPEG/BF19_BW/BF19_CC.jpg,Apple,600px,600px,150px,What ethnicity does this look most like to you?,African|Caucasian|East Asian|South Asian|Other,How Confident are you in this judgement?,1 - least confident|2|3|4|5|6|7 - most confident,,,
BF_BW_JPEG/BF20_BW/BF20_CC.jpg,Apple,600px,600px,150px,What ethnicity does this look most like to you?,African|Caucasian|East Asian|South Asian|Other,How Confident are you in this judgement?,1 - least confident|2|3|4|5|6|7 - most confident,,,
BF_BW_JPEG/BF21_BW/BF21_CC.jpg,Apple,600px,600px,150px,What ethnicity does this look most like to you?,African|Caucasian|East Asian|South Asian|Other,How Confident are you in this judgement?,1 - least confident|2|3|4|5|6|7 - most confident,,,
BF_BW_JPEG/BF22_BW/BF22_CC.jpg,Apple,600px,600px,150px,What ethnicity does this look most like to you?,African|Caucasian|East Asian|South Asian|Other,How Confident are you in this judgement?,1 - least confident|2|3|4|5|6|7 - most confident,,,
BM_BW_JPEG/BM01_BW/BM01_CC.jpg,Apple,600px,600px,150px,What ethnicity does this look most like to you?,African|Caucasian|East Asian|South Asian|Other,How Confident are you in this judgement?,1 - least confident|2|3|4|5|6|7 - most confident,,,
BM_BW_JPEG/BM02_BW/BM02_CC.jpg,Apple,600px,600px,150px,What ethnicity does this look most like to you?,African|Caucasian|East Asian|South Asian|Other,How Confident are you in this judgement?,1 - least confident|2|3|4|5|6|7 - most confident,,,
BM_BW_JPEG/BM03_BW/BM03_CC.jpg,Apple,600px,600px,150px,What ethnicity does this look most like to you?,African|Caucasian|East Asian|South Asian|Other,How Confident are you in this judgement?,1 - least confident|2|3|4|5|6|7 - most confident,,,
BM_BW_JPEG/BM04_BW/BM04_CC.jpg,Apple,600px,600px,150px,What ethnicity does this look most like to you?,African|Caucasian|East Asian|South Asian|Other,How Confident are you in this judgement?,1 - least confident|2|3|4|5|6|7 - most confident,,,
BM_BW_JPEG/BM05_BW/BM05_CC.jpg,Apple,600px,600px,150px,What ethnicity does this look most like to you?,African|Caucasian|East Asian|South Asian|Other,How Confident are you in this judgement?,1 - least confident|2|3|4|5|6|7 - most confident,,,
BM_BW_JPEG/BM06_BW/BM06_CC.jpg,Apple,600px,600px,150px,What ethnicity does this look most like to you?,African|Caucasian|East Asian|South Asian|Other,How Confident are you in this judgement?,1 - least confident|2|3|4|5|6|7 - most confident,,,
BM_BW_JPEG/BM07_BW/BM07_CC.jpg,Apple,600px,600px,150px,What ethnicity does this look most like to you?,African|Caucasian|East Asian|South Asian|Other,How Confident are you in this judgement?,1 - least confident|2|3|4|5|6|7 - most confident,,,
BM_BW_JPEG/BM08_BW/BM08_CC.jpg,Apple,600px,600px,150px,What ethnicity does this look most like to you?,African|Caucasian|East Asian|South Asian|Other,How Confident are you in this judgement?,1 - least confident|2|3|4|5|6|7 - most confident,,,
BM_BW_JPEG/BM09_BW/BM09_CC.jpg,Apple,600px,600px,150px,What ethnicity does this look most like to you?,African|Caucasian|East Asian|South Asian|Other,How Confident are you in this judgement?,1 - least confident|2|3|4|5|6|7 - most confident,,,
BM_BW_JPEG/BM11_BW/BM11_CC.jpg,Apple,600px,600px,150px,What ethnicity does this look most like to you?,African|Caucasian|East Asian|South Asian|Other,How Confident are you in this judgement?,1 - least confident|2|3|4|5|6|7 - most confident,,,
BM_BW_JPEG/BM12_BW/BM12_CC.jpg,Apple,600px,600px,150px,What ethnicity does this look most like to you?,African|Caucasian|East Asian|South Asian|Other,How Confident are you in this judgement?,1 - least confident|2|3|4|5|6|7 - most confident,,,
BM_BW_JPEG/BM13_BW/BM13_CC.jpg,Apple,600px,600px,150px,What ethnicity does this look most like to you?,African|Caucasian|East Asian|South Asian|Other,How Confident are you in this judgement?,1 - least confident|2|3|4|5|6|7 - most confident,,,
BM_BW_JPEG/BM14_BW/BM14_CC.jpg,Apple,600px,600px,150px,What ethnicity does this look most like to you?,African|Caucasian|East Asian|South Asian|Other,How Confident are you in this judgement?,1 - least confident|2|3|4|5|6|7 - most confident,,,
BM_BW_JPEG/BM15_BW/BM15_CC.jpg,Apple,600px,600px,150px,What ethnicity does this look most like to you?,African|Caucasian|East Asian|South Asian|Other,How Confident are you in this judgement?,1 - least confident|2|3|4|5|6|7 - most confident,,,
BM_BW_JPEG/BM16_BW/BM16_CC.jpg,Apple,600px,600px,150px,What ethnicity does this look most like to you?,African|Caucasian|East Asian|South Asian|Other,How Confident are you in this judgement?,1 - least confident|2|3|4|5|6|7 - most confident,,,
BM_BW_JPEG/BM17_BW/BM17_CC.jpg,Apple,600px,600px,150px,What ethnicity does this look most like to you?,African|Caucasian|East Asian|South Asian|Other,How Confident are you in this judgement?,1 - least confident|2|3|4|5|6|7 - most confident,,,
BM_BW_JPEG/BM18_BW/BM18_CC.jpg,Apple,600px,600px,150px,What ethnicity does this look most like to you?,African|Caucasian|East Asian|South Asian|Other,How Confident are you in this judgement?,1 - least confident|2|3|4|5|6|7 - most confident,,,
HF_BW_JPEG/HF01_BW/HF01_CC.jpg,Apple,600px,600px,150px,What ethnicity does this look most like to you?,African|Caucasian|East Asian|South Asian|Other,How Confident are you in this judgement?,1 - least confident|2|3|4|5|6|7 - most confident,,,
HF_BW_JPEG/HF02_BW/HF02_CC.jpg,Apple,600px,600px,150px,What ethnicity does this look most like to you?,African|Caucasian|East Asian|South Asian|Other,How Confident are you in this judgement?,1 - least confident|2|3|4|5|6|7 - most confident,,,
HF_BW_JPEG/HF03_BW/HF03_CC.jpg,Apple,600px,600px,150px,What ethnicity does this look most like to you?,African|Caucasian|East Asian|South Asian|Other,How Confident are you in this judgement?,1 - least confident|2|3|4|5|6|7 - most confident,,,
HF_BW_JPEG/HF04_BW/HF04_CC.jpg,Apple,600px,600px,150px,What ethnicity does this look most like to you?,African|Caucasian|East Asian|South Asian|Other,How Confident are you in this judgement?,1 - least confident|2|3|4|5|6|7 - most confident,,,
HF_BW_JPEG/HF05_BW/HF05_CC.jpg,Apple,600px,600px,150px,What ethnicity does this look most like to you?,African|Caucasian|East Asian|South Asian|Other,How Confident are you in this judgement?,1 - least confident|2|3|4|5|6|7 - most confident,,,
HF_BW_JPEG/HF07_BW/HF7_CC.jpg,Apple,600px,600px,150px,What ethnicity does this look most like to you?,African|Caucasian|East Asian|South Asian|Other,How Confident are you in this judgement?,1 - least confident|2|3|4|5|6|7 - most confident,,,
HF_BW_JPEG/HF08_BW/HF08_CC.jpg,Apple,600px,600px,150px,What ethnicity does this look most like to you?,African|Caucasian|East Asian|South Asian|Other,How Confident are you in this judgement?,1 - least confident|2|3|4|5|6|7 - most confident,,,
HF_BW_JPEG/HF09_BW/HF09_CC.jpg,Apple,600px,600px,150px,What ethnicity does this look most like to you?,African|Caucasian|East Asian|South Asian|Other,How Confident are you in this judgement?,1 - least confident|2|3|4|5|6|7 - most confident,,,
HF_BW_JPEG/HF10_BW/HF10_CC.jpg,Apple,600px,600px,150px,What ethnicity does this look most like to you?,African|Caucasian|East Asian|South Asian|Other,How Confident are you in this judgement?,1 - least confident|2|3|4|5|6|7 - most confident,,,
HM_BW_JPEG/HM01_BW/HM01_CC.jpg,Apple,600px,600px,150px,What ethnicity does this look most like to you?,African|Caucasian|East Asian|South Asian|Other,How Confident are you in this judgement?,1 - least confident|2|3|4|5|6|7 - most confident,,,
HM_BW_JPEG/HM02_BW/HM02_CC.jpg,Apple,600px,600px,150px,What ethnicity does this look most like to you?,African|Caucasian|East Asian|South Asian|Other,How Confident are you in this judgement?,1 - least confident|2|3|4|5|6|7 - most confident,,,
HM_BW_JPEG/HM03_BW/HM03_CC.jpg,Apple,600px,600px,150px,What ethnicity does this look most like to you?,African|Caucasian|East Asian|South Asian|Other,How Confident are you in this judgement?,1 - least confident|2|3|4|5|6|7 - most confident,,,
HM_BW_JPEG/HM04_BW/HM04_CC.jpg,Apple,600px,600px,150px,What ethnicity does this look most like to you?,African|Caucasian|East Asian|South Asian|Other,How Confident are you in this judgement?,1 - least confident|2|3|4|5|6|7 - most confident,,,
HM_BW_JPEG/HM05_BW/HM05_CC.jpg,Apple,600px,600px,150px,What ethnicity does this look most like to you?,African|Caucasian|East Asian|South Asian|Other,How Confident are you in this judgement?,1 - least confident|2|3|4|5|6|7 - most confident,,,
HM_BW_JPEG/HM06_BW/HM06_CC.jpg,Apple,600px,600px,150px,What ethnicity does this look most like to you?,African|Caucasian|East Asian|South Asian|Other,How Confident are you in this judgement?,1 - least confident|2|3|4|5|6|7 - most confident,,,
HM_BW_JPEG/HM07_BW/HM07_CC.jpg,Apple,600px,600px,150px,What ethnicity does this look most like to you?,African|Caucasian|East Asian|South Asian|Other,How Confident are you in this judgement?,1 - least confident|2|3|4|5|6|7 - most confident,,,
HM_BW_JPEG/HM08_BW/HM08_CC.jpg,Apple,600px,600px,150px,What ethnicity does this look most like to you?,African|Caucasian|East Asian|South Asian|Other,How Confident are you in this judgement?,1 - least confident|2|3|4|5|6|7 - most confident,,,
HM_BW_JPEG/HM09_BW/HM09_CC.jpg,Apple,600px,600px,150px,What ethnicity does this look most like to you?,African|Caucasian|East Asian|South Asian|Other,How Confident are you in this judgement?,1 - least confident|2|3|4|5|6|7 - most confident,,,
HM_BW_JPEG/HM10_BW/HM10_CC.jpg,Apple,600px,600px,150px,What ethnicity does this look most like to you?,African|Caucasian|East Asian|South Asian|Other,How Confident are you in this judgement?,1 - least confident|2|3|4|5|6|7 - most confident,,,
HM_BW_JPEG/HM11_BW/HM11_CC.jpg,Apple,600px,600px,150px,What ethnicity does this look most like to you?,African|Caucasian|East Asian|South Asian|Other,How Confident are you in this judgement?,1 - least confident|2|3|4|5|6|7 - most confident,,,
WF_BW_JPEG/WF01_BW/WF01_CC.jpg,Apple,600px,600px,150px,What ethnicity does this look most like to you?,African|Caucasian|East Asian|South Asian|Other,How Confident are you in this judgement?,1 - least confident|2|3|4|5|6|7 - most confident,,,
WF_BW_JPEG/WF02_BW/WF02_CC.jpg,Apple,600px,600px,150px,What ethnicity does this look most like to you?,African|Caucasian|East Asian|South Asian|Other,How Confident are you in this judgement?,1 - least confident|2|3|4|5|6|7 - most confident,,,
WF_BW_JPEG/WF03_BW/WF03_CC.jpg,Apple,600px,600px,150px,What ethnicity does this look most like to you?,African|Caucasian|East Asian|South Asian|Other,How Confident are you in this judgement?,1 - least confident|2|3|4|5|6|7 - most confident,,,
WF_BW_JPEG/WF04_BW/WF04_CC.jpg,Apple,600px,600px,150px,What ethnicity does this look most like to you?,African|Caucasian|East Asian|South Asian|Other,How Confident are you in this judgement?,1 - least confident|2|3|4|5|6|7 - most confident,,,
WF_BW_JPEG/WF05_BW/WF05_CC.jpg,Apple,600px,600px,150px,What ethnicity does this look most like to you?,African|Caucasian|East Asian|South Asian|Other,How Confident are you in this judgement?,1 - least confident|2|3|4|5|6|7 - most confident,,,
WF_BW_JPEG/WF06_BW/WF06_CC.jpg,Apple,600px,600px,150px,What ethnicity does this look most like to you?,African|Caucasian|East Asian|South Asian|Other,How Confident are you in this judgement?,1 - least confident|2|3|4|5|6|7 - most confident,,,
WF_BW_JPEG/WF07_BW/WF07_CC.jpg,Apple,600px,600px,150px,What ethnicity does this look most like to you?,African|Caucasian|East Asian|South Asian|Other,How Confident are you in this judgement?,1 - least confident|2|3|4|5|6|7 - most confident,,,
WF_BW_JPEG/WF08_BW/WF08_CC.jpg,Apple,600px,600px,150px,What ethnicity does this look most like to you?,African|Caucasian|East Asian|South Asian|Other,How Confident are you in this judgement?,1 - least confident|2|3|4|5|6|7 - most confident,,,
WF_BW_JPEG/WF09_BW/WF09_CC.jpg,Apple,600px,600px,150px,What ethnicity does this look most like to you?,African|Caucasian|East Asian|South Asian|Other,How Confident are you in this judgement?,1 - least confident|2|3|4|5|6|7 - most confident,,,
WF_BW_JPEG/WF10_BW/WF10_CC.jpg,Apple,600px,600px,150px,What ethnicity does this look most like to you?,African|Caucasian|East Asian|South Asian|Other,How Confident are you in this judgement?,1 - least confident|2|3|4|5|6|7 - most confident,,,
WF_BW_JPEG/WF11_BW/WF11_CC.jpg,Apple,600px,600px,150px,What ethnicity does this look most like to you?,African|Caucasian|East Asian|South Asian|Other,How Confident are you in this judgement?,1 - least confident|2|3|4|5|6|7 - most confident,,,
WF_BW_JPEG/WF12_BW/WF12_CC.jpg,Apple,600px,600px,150px,What ethnicity does this look most like to you?,African|Caucasian|East Asian|South Asian|Other,How Confident are you in this judgement?,1 - least confident|2|3|4|5|6|7 - most confident,,,
WF_BW_JPEG/WF13_BW/WF13_CC.jpg,Apple,600px,600px,150px,What ethnicity does this look most like to you?,African|Caucasian|East Asian|South Asian|Other,How Confident are you in this judgement?,1 - least confident|2|3|4|5|6|7 - most confident,,,
WF_BW_JPEG/WF14_BW/WF14_CC.jpg,Apple,600px,600px,150px,What ethnicity does this look most like to you?,African|Caucasian|East Asian|South Asian|Other,How Confident are you in this judgement?,1 - least confident|2|3|4|5|6|7 - most confident,,,
WF_BW_JPEG/WF15_BW/WF15_CC.jpg,Apple,600px,600px,150px,What ethnicity does this look most like to you?,African|Caucasian|East Asian|South Asian|Other,How Confident are you in this judgement?,1 - least confident|2|3|4|5|6|7 - most confident,,,
WM_BW_JPEG/WM01_BW/WM01_CC.jpg,Apple,600px,600px,150px,What ethnicity does this look most like to you?,African|Caucasian|East Asian|South Asian|Other,How Confident are you in this judgement?,1 - least confident|2|3|4|5|6|7 - most confident,,,
WM_BW_JPEG/WM02_BW/WM02_CC.jpg,Apple,600px,600px,150px,What ethnicity does this look most like to you?,African|Caucasian|East Asian|South Asian|Other,How Confident are you in this judgement?,1 - least confident|2|3|4|5|6|7 - most confident,,,
WM_BW_JPEG/WM03_BW/WM03_CC.jpg,Apple,600px,600px,150px,What ethnicity does this look most like to you?,African|Caucasian|East Asian|South Asian|Other,How Confident are you in this judgement?,1 - least confident|2|3|4|5|6|7 - most confident,,,
WM_BW_JPEG/WM04_BW/WM04_CC.jpg,Apple,600px,600px,150px,What ethnicity does this look most like to you?,African|Caucasian|East Asian|South Asian|Other,How Confident are you in this judgement?,1 - least confident|2|3|4|5|6|7 - most confident,,,
WM_BW_JPEG/WM05_BW/WM05_CC.jpg,Apple,600px,600px,150px,What ethnicity does this look most like to you?,African|Caucasian|East Asian|South Asian|Other,How Confident are you in this judgement?,1 - least confident|2|3|4|5|6|7 - most confident,,,
WM_BW_JPEG/WM06_BW/WM06_CC.jpg,Apple,600px,600px,150px,What ethnicity does this look most like to you?,African|Caucasian|East Asian|South Asian|Other,How Confident are you in this judgement?,1 - least confident|2|3|4|5|6|7 - most confident,,,
WM_BW_JPEG/WM07_BW/WM07_CC.jpg,Apple,600px,600px,150px,What ethnicity does this look most like to you?,African|Caucasian|East Asian|South Asian|Other,How Confident are you in this judgement?,1 - least confident|2|3|4|5|6|7 - most confident,,,
WM_BW_JPEG/WM08_BW/WM08_CC.jpg,Apple,600px,600px,150px,What ethnicity does this look most like to you?,African|Caucasian|East Asian|South Asian|Other,How Confident are you in this judgement?,1 - least confident|2|3|4|5|6|7 - most confident,,,
WM_BW_JPEG/WM09_BW/WM09_CC.jpg,Apple,600px,600px,150px,What ethnicity does this look most like to you?,African|Caucasian|East Asian|South Asian|Other,How Confident are you in this judgement?,1 - least confident|2|3|4|5|6|7 - most confident,,,
WM_BW_JPEG/WM10_BW/WM10_CC.jpg,Apple,600px,600px,150px,What ethnicity does this look most like to you?,African|Caucasian|East Asian|South Asian|Other,How Confident are you in this judgement?,1 - least confident|2|3|4|5|6|7 - most confident,,,
WM_BW_JPEG/WM11_BW/WM11_CC.jpg,Apple,600px,600px,150px,What ethnicity does this look most like to you?,African|Caucasian|East Asian|South Asian|Other,How Confident are you in this judgement?,1 - least confident|2|3|4|5|6|7 - most confident,,,
WM_BW_JPEG/WM12_BW/WM12_CC.jpg,Apple,600px,600px,150px,What ethnicity does this look most like to you?,African|Caucasian|East Asian|South Asian|Other,How Confident are you in this judgement?,1 - least confident|2|3|4|5|6|7 - most confident,,,
WM_BW_JPEG/WM13_BW/WM13_CC.jpg,Apple,600px,600px,150px,What ethnicity does this look most like to you?,African|Caucasian|East Asian|South Asian|Other,How Confident are you in this judgement?,1 - least confident|2|3|4|5|6|7 - most confident,,,
,
